"","CH","sex","Background","variable","value"
"750",519,"Male","West","Height",180
"751",135,"Male","West","Height",173
"752",259,"Male","West","Height",188
"753",650,"Male","West","Height",183
"754",258,"Male","West","Height",188
"755",530,"Male","West","Height",191
"756",538,"Male","West","Height",183
"757",458,"Male","West","Height",183
"758",56,"Male","West","Height",183
"759",332,"Male","West","Height",180
"760",663,"Male","East","Height",173
"761",198,"Male","West","Height",180
"762",666,"Male","West","Height",188
"763",103,"Male","West","Height",178
"764",566,"Male","West","Height",173
"765",530,"Male","West","Height",188
"766",641,"Male","West","Height",188
"767",558,"Male","West","Height",188
"768",392,"Male","West","Height",185
"769",217,"Male","West","Height",183
"770",617,"Male","East","Height",185
"771",194,"Male","West","Height",188
"772",264,"Male","West","Height",183
"773",461,"Male","West","Height",170
"774",679,"Male","West","Height",196
"775",538,"Male","West","Height",185
"776",479,"Male","West","Height",193
"777",685,"Male","West","Height",185
"778",279,"Male","West","Height",178
"779",688,"Male","West","Height",183
"780",132,"Male","West","Height",196
"781",62,"Male","West","Height",203
"782",558,"Male","West","Height",180
"783",535,"Male","West","Height",193
"784",569,"Male","West","Height",183
"785",434,"Male","East","Height",180
"786",201,"Male","West","Height",188
"787",582,"Male","West","Height",178
"788",637,"Male","West","Height",178
"789",692,"Male","West","Height",188
"790",691,"Male","West","Height",183
"791",693,"Male","West","Height",183
"792",595,"Male","West","Height",206
"793",145,"Male","West","Height",196
"794",540,"Male","West","Height",191
"795",635,"Male","West","Height",185
"796",188,"Male","West","Height",185
"797",50,"Male","West","Height",185
"798",688,"Male","West","Height",185
"799",508,"Male","East","Height",183
"800",48,"Male","West","Height",188
"801",719,"Male","West","Height",185
"802",699,"Male","West","Height",185
"803",455,"Male","West","Height",178
"804",602,"Male","West","Height",180
"805",563,"Male","West","Height",178
"806",672,"Male","West","Height",185
"807",721,"Male","West","Height",170
"808",531,"Male","East","Height",180
"809",436,"Male","West","Height",191
"810",576,"Male","East","Height",183
"811",644,"Male","West","Height",203
"812",445,"Male","West","Height",191
"813",695,"Male","West","Height",183
"814",529,"Male","West","Height",180
"815",377,"Male","West","Height",191
"816",664,"Male","West","Height",180
"817",624,"Male","West","Height",191
"818",587,"Male","East","Height",183
"819",33,"Male","East","Height",183
"820",751,"Male","West","Height",178
"821",733,"Male","West","Height",178
"822",568,"Male","West","Height",180
"823",226,"Male","West","Height",188
"824",202,"Male","West","Height",180
"825",532,"Male","West","Height",193
